E/RvCPT;EXPL;Ingles;Forma;es;gq;cu;do;pr;mx;gt;hn;sv;ni;cr;pa;co;ve;ec;pe;bo;cl;py;uy;ar
R;A009;Prenda de vestir femenina que se usa en invierno y se pone sobre todas las demás para ir por la calle.;OVERCOAT;sobretodo;-;-;+;-;-;-;-;-;+;-;-;+;+;-;-;-;-;-;+;-;+
R;A009;Prenda de vestir femenina que se usa en invierno y se pone sobre todas las demás para ir por la calle.;OVERCOAT;tapado;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+
R;A010;Prenda de vestir femenina bordeada de flecos, que llevan las mujeres sobre los hombros.;SHAWL;bufanda;-;+;-;+;+;-;-;-;-;+;+;-;-;+;-;-;-;-;-;-;-
R;A010;Prenda de vestir femenina bordeada de flecos, que llevan las mujeres sobre los hombros.;SHAWL;chal;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+
R;A010;Prenda de vestir femenina bordeada de flecos, que llevan las mujeres sobre los hombros.;SHAWL;chalina;-;-;+;-;-;+;-;-;-;+;-;-;-;-;+;-;-;-;+;+;-
R;A010;Prenda de vestir femenina bordeada de flecos, que llevan las mujeres sobre los hombros.;SHAWL;estola;-;-;+;+;+;+;-;-;-;-;+;+;-;+;+;-;-;-;-;-;-
R;A010;Prenda de vestir femenina bordeada de flecos, que llevan las mujeres sobre los hombros.;SHAWL;manta;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A010;Prenda de vestir femenina bordeada de flecos, que llevan las mujeres sobre los hombros.;SHAWL;mantilla;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-
R;A010;Prenda de vestir femenina bordeada de flecos, que llevan las mujeres sobre los hombros.;SHAWL;mantón;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-
R;A010;Prenda de vestir femenina bordeada de flecos, que llevan las mujeres sobre los hombros.;SHAWL;pañoleta;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;+
R;A010;Prenda de vestir femenina bordeada de flecos, que llevan las mujeres sobre los hombros.;SHAWL;pañuelo;+;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-
R;A010;Prenda de vestir femenina bordeada de flecos, que llevan las mujeres sobre los hombros.;SHAWL;pashmina ;+;-;-;-;+;+;-;+;-;-;+;+;+;+;-;+;-;-;+;+;+
R;A010;Prenda de vestir femenina bordeada de flecos, que llevan las mujeres sobre los hombros.;SHAWL;rebozo;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-
R;A011;Traje de dormir, formado por pantalón y chaqueta, ambos de tela ligera.;PYJAMAS (US:PAJAMAS);bata;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-
R;A011;Traje de dormir, formado por pantalón y chaqueta, ambos de tela ligera.;PYJAMAS (US:PAJAMAS);el payama;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A011;Traje de dormir, formado por pantalón y chaqueta, ambos de tela ligera.;PYJAMAS (US:PAJAMAS);el pijama;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-
R;A011;Traje de dormir, formado por pantalón y chaqueta, ambos de tela ligera.;PYJAMAS (US:PAJAMAS);el piyama;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;+;+
R;A011;Traje de dormir, formado por pantalón y chaqueta, ambos de tela ligera.;PYJAMAS (US:PAJAMAS);la payama;-;-;+;-;+;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A011;Traje de dormir, formado por pantalón y chaqueta, ambos de tela ligera.;PYJAMAS (US:PAJAMAS);la pijama;-;-;-;-;+;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-
R;A011;Traje de dormir, formado por pantalón y chaqueta, ambos de tela ligera.;PYJAMAS (US:PAJAMAS);la pishama;-;-;-;-;-;-;+;-;-;-;-;-;-;+;+;-;-;-;-;+;-
R;A011;Traje de dormir, formado por pantalón y chaqueta, ambos de tela ligera.;PYJAMAS (US:PAJAMAS);la piyama;-;-;-;+;+;+;-;+;+;+;+;+;+;-;+;-;-;-;-;-;-
R;A012;Prenda de vestir femenina que cubre de la cintura para abajo.;SKIRT;falda;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;+
R;A012;Prenda de vestir femenina que cubre de la cintura para abajo.;SKIRT;pollera;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+
R;A012;Prenda de vestir femenina que cubre de la cintura para abajo.;SKIRT;saya;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A013;Tira de tela que se emplea para adorno de la cabeza.;RIBBON;balaca;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-
R;A013;Tira de tela que se emplea para adorno de la cabeza.;RIBBON;balerina;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A013;Tira de tela que se emplea para adorno de la cabeza.;RIBBON;banda;-;-;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A013;Tira de tela que se emplea para adorno de la cabeza.;RIBBON;cinta (de pelo);+;+;+;+;+;+;-;-;+;-;-;-;-;+;-;-;-;+;-;-;-
R;A013;Tira de tela que se emplea para adorno de la cabeza.;RIBBON;cintillo;-;-;+;-;-;-;-;-;-;+;-;-;-;+;+;-;-;+;-;-;-
R;A013;Tira de tela que se emplea para adorno de la cabeza.;RIBBON;diadema;+;+;-;-;+;+;+;-;+;+;+;-;+;-;-;-;-;-;-;-;-
R;A013;Tira de tela que se emplea para adorno de la cabeza.;RIBBON;felpa;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A013;Tira de tela que se emplea para adorno de la cabeza.;RIBBON;huincha;-;-;-;-;-;+;-;-;-;-;+;+;-;-;-;+;+;-;+;+;+
R;A013;Tira de tela que se emplea para adorno de la cabeza.;RIBBON;tiara;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A013;Tira de tela que se emplea para adorno de la cabeza.;RIBBON;vincha;-;-;-;-;-;-;-;+;-;-;+;+;-;-;-;+;+;-;+;+;+
R;A014;Prenda para hacer deportes.;TRACK SUIT;buzo;-;-;-;-;-;-;-;+;-;+;+;+;-;-;-;+;+;-;+;-;+
R;A014;Prenda para hacer deportes.;TRACK SUIT;calentador;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-
R;A014;Prenda para hacer deportes.;TRACK SUIT;chándal;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A014;Prenda para hacer deportes.;TRACK SUIT;conjunto de gimnasia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+
R;A014;Prenda para hacer deportes.;TRACK SUIT;conjunto deportivo;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;A014;Prenda para hacer deportes.;TRACK SUIT;equipo de gimnasia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+
R;A014;Prenda para hacer deportes.;TRACK SUIT;equipo deportivo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-
R;A014;Prenda para hacer deportes.;TRACK SUIT;hot-pants;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A014;Prenda para hacer deportes.;TRACK SUIT;jogging [yógin];-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;+;+
R;A014;Prenda para hacer deportes.;TRACK SUIT;mono;-;-;+;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
R;A014;Prenda para hacer deportes.;TRACK SUIT;pants;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-
R;A014;Prenda para hacer deportes.;TRACK SUIT;sudadera;+;-;-;+;+;-;-;-;+;+;-;+;+;-;-;-;-;-;-;-;-
R;A014;Prenda para hacer deportes.;TRACK SUIT;sudador;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A014;Prenda para hacer deportes.;TRACK SUIT;traje deportivo;-;-;+;+;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-
